1,カット,5500
1,前髪カット,550
1,ポイントカット,1100
2,リタッチ,1980
2,グレーカラー,5830
2,ファッションカラー,5830
3,ベーシックパーマ,5830
3,ポイントパーマ,550
3,ストレートパーマ,16500
3,ポイントストレート,2200
4,シャンプブロー,2750
4,シェービング,3300
